Id,Name,Letter,ScaleType,KeySignature,Common,Description
0,A,A,Major,Natural,1,
0,A#,A,Major,Sharp,0,
0,Bb,B,Major,Flat,1,
0,B,B,Major,Natural,1,
0,Cb,C,Major,Flat,0,
0,C,C,Major,Natural,1,
0,C#,C,Major,Sharp,1,
0,Db,D,Major,Flat,1,
0,D,D,Major,Flat,1,
0,D#,D,Major,Sharp,0,
0,Eb,E,Major,Flat,1,
0,E,E,Major,Natural,1,
0,F,F,Major,Natural,1,
0,F#,F,Major,Sharp,1,
0,Gb,G,Major,Flat,1,
0,G,G,Major,Natural,1,
0,G#,G,Major,Sharp,0,
0,Ab,A,Major,Flat,1,
0,Am,A,Minor,Natural,1,
0,A#m,A,Minor,Sharp,0,
0,Bbm,B,Minor,Flat,1,
0,Bm,B,Minor,Natural,1,
0,Cbm,C,Minor,Flat,0,
0,Cm,C,Minor,Natural,1,
0,C#m,C,Minor,Sharp,1,
0,Dbm,D,Minor,Flat,1,
0,Dm,D,Minor,Flat,1,
0,D#m,D,Minor,Sharp,0,
0,Ebm,E,Minor,Flat,1,
0,Em,E,Minor,Natural,1,
0,Fm,F,Minor,Natural,1,
0,F#m,F,Minor,Sharp,1,
0,Gbm,G,Minor,Flat,1,
0,Gm,G,Minor,Natural,1,
0,G#m,G,Minor,Sharp,0,
0,Abm,A,Minor,Flat,1,
