Artist,Title,Year,TrackCount,Type,Category
Shane And Shane,"Psalms, Vol. 1",2002,13,Studio,Psalms
Shane And Shane,Carry Away,2003,13,Studio,
Shane And Shane,Clean,2004,11,Studio,
Shane And Shane,Upstairs,2004,10,Studio,
Shane And Shane,Pages,2007,15,Studio,
Shane And Shane,"Glory in the Highest, A Christmas Record",2008,10,Studio,Christmas
Shane And Shane,Everything Is Different,2009,15,Studio,
Shane And Shane,"Dare 2 Share, Unending Worship",2010,10,Studio,
Shane And Shane,The One You Need,2011,12,Studio,
Shane And Shane,Bring Your Nothing,2013,11,Studio,
Shane And Shane,"The Worship Initiative, Vol. 01",2014,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 02",2014,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 03",2014,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 04",2014,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 05",2014,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 06",2014,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 07",2014,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 08",2014,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 09",2014,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 10",2014,10,Studio,
Shane And Shane,"Psalms, Vol. 2",2015,12,Studio,Psalms
Shane And Shane,The Worship Initiative,2015,10,Studio,
Shane And Shane,Psalms (Live),2016,13,Live,Psalms
Shane And Shane,"The Worship Initiative, Vol. 11",2016,11,Studio,
Shane And Shane,"A Worship Initiative Christmas, Vol. 1",2017,10,Studio,Christmas
Shane And Shane,"A Worship Initiative Christmas, Vol. 2",2017,10,Studio,Christmas
Shane And Shane,"The Worship Initiative, Vol. 12",2017,13,Studio,
Shane And Shane,"The Worship Initiative, Vol. 13",2017,5,Studio,
Shane And Shane,"The Worship Initiative, Vol. 14",2017,5,Studio,
Shane And Shane,"Hymns, Vol. 1",2018,10,Studio,Hymns
Shane And Shane,"Hymns, Vol. 2",2018,10,Studio,Hymns
Shane And Shane,"The Worship Initiative, Vol. 15",2018,5,Studio,
Shane And Shane,"The Worship Initiative, Vol. 16",2018,10,Studio,
Shane And Shane,Hymns (Live),2019,13,Live,Hymns
Shane And Shane,"A Worship Initiative Christmas, Vol. 3",2019,5,Studio,Christmas
Shane And Shane,"The Worship Initiative, Vol. 17",2019,12,Studio,
Shane And Shane,"The Worship Initiative, Vol. 18",2020,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 19",2020,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 20",2020,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 21",2020,10,Studio,
Shane And Shane,"The Worship Initiative, Vol. 22",2020,11,Studio,
Shane And Shane,"The Worship Initiative, Vol. 23",2021,10,Studio,
Shane And Shane,WI Lite,2100,10,Unreleased,Unreleased
Shane And Shane,WI Singles,2100,1,Unreleased,Unreleased
