Album,Year,Title,AltTitle,Index,Author,CCLI#,Key,Tempo
"Psalms, Vol. 1",2002,Breath of God,,1,,,,
"Psalms, Vol. 1",2002,Unto You,,2,,,,
"Psalms, Vol. 1",2002,Revive Me,Psalm 143,3,,,,
"Psalms, Vol. 1",2002,The Answer,,4,,,,
"Psalms, Vol. 1",2002,Psalm 13,,5,,,,
"Psalms, Vol. 1",2002,Psalm 145,,6,,,,
"Psalms, Vol. 1",2002,Waiting Room,,7,,,,
"Psalms, Vol. 1",2002,Job 19,,8,,,,
"Psalms, Vol. 1",2002,This Is the Day,Psalm 118,9,,,,
"Psalms, Vol. 1",2002,Praise the Name of Jesus,,10,,,,
"Psalms, Vol. 1",2002,We've Come to Declare,,11,,,,
"Psalms, Vol. 1",2002,You Said,,12,,,,
"Psalms, Vol. 1",2002,Hosea,,13,,,,
Carry Away,2003,Barren Land,,1,,,,
Carry Away,2003,Carry Away,,2,,,,
Carry Away,2003,Be Near,,3,,,,
Carry Away,2003,Mercy Reigns,,4,,,,
Carry Away,2003,Song of Surrender,,5,,,,
Carry Away,2003,I Want It All,,6,,,,
Carry Away,2003,When I Think About the Lord,,7,James Huey,,,
Carry Away,2003,Beauty for Ashes,,8,"Barnard, Kendall Combs",,,
Carry Away,2003,Sweet Illumination,,9,"Barnard, Shane Everett",,,
Carry Away,2003,Hearts of Servants,,10,,,,
Carry Away,2003,The Blood,,11,,,,
Carry Away,2003,Water of the Word,,12,,,,
Carry Away,2003,Be Near,Radio Version,13,,,,
Clean,2004,Saved by Grace,,1,Shane Barnard,,,
Clean,2004,Fringes,,2,Barnard,,,
Clean,2004,He Is Exalted,,3,Twila Paris,,,
Clean,2004,Waging War,,4,Barnard,,,
Clean,2004,Make Believe Jesus,,5,Barnard,,,
Clean,2004,You and I,,6,"Barnard, Shane Everett",,,
Clean,2004,Yearn,,7,Barnard,,,
Clean,2004,God Did,,8,Barnard,,,
Clean,2004,Acres of Hope,,9,"Barnard, Robbie Seay",,,
Clean,2004,There Is None Like You,,10,,,,
Clean,2004,Your Grace Is Sufficient,,11,Martin Nystrom,,,
Upstairs,2004,Psalm 13,,1,,,,
Upstairs,2004,Holy,,2,,,,
Upstairs,2004,I Miss You,,3,"Barnard, Will Hunt",,,
Upstairs,2004,May the Few,,4,,,,
Upstairs,2004,Beauty for Ashes,,5,"Barnard, Kendall Combs",,,
Upstairs,2004,Still at Shore,,6,,,,
Upstairs,2004,The Answer,,7,,,,
Upstairs,2004,I Want It All,,8,,,,
Upstairs,2004,Yearn,,9,,,,
Upstairs,2004,Chapter One,,10,,,,
Pages,2007,Vision of You,,1,,,,
Pages,2007,We Love You Jesus,,2,,,,
Pages,2007,Burns Us Up,,3,,,,
Pages,2007,Over the Sun,,4,,,,
Pages,2007,Interlude,,5,,,,
Pages,2007,Beg,,6,,,,
Pages,2007,In You,,7,,,,
Pages,2007,Holiday,,8,,,,
Pages,2007,Psalm 62,,9,,,,
Pages,2007,Bad Days Better,,10,,,,
Pages,2007,Embracing Accusation,,11,,,,
Pages,2007,Before the Throne of God Above,,12,,,,
Pages,2007,Wounded,,13,,,,
Pages,2007,Healed,,14,,,,
Pages,2007,When I Think About the Lord,,15,,,,
"Glory in the Highest, A Christmas Record",2008,O Holy Night,,1,,,,
"Glory in the Highest, A Christmas Record",2008,O Come O Come Emmanuel,,2,,,,
"Glory in the Highest, A Christmas Record",2008,Away in a Manger,,3,,,,
"Glory in the Highest, A Christmas Record",2008,It's Beginning to Look Like Christmas,,4,Meredith Willson,,,
"Glory in the Highest, A Christmas Record",2008,Born to Die,,5,,,,
"Glory in the Highest, A Christmas Record",2008,Silent Night,,6,,,,
"Glory in the Highest, A Christmas Record",2008,White Christmas,,7,Irving Berlin,,,
"Glory in the Highest, A Christmas Record",2008,Holiday,,8,Shane Barnard,,,
"Glory in the Highest, A Christmas Record",2008,Glory in the Highest,,9,"Barnard, Shane Everett",,,
"Glory in the Highest, A Christmas Record",2008,O Come Let Us Adore Him,,10,,,,
Everything Is Different,2009,Everything Is Different,,1,,,,
Everything Is Different,2009,The Lord's Prayer,,2,,,,
Everything Is Different,2009,Worthy of Affection,,3,"Barnard, Shane Everett",,,
Everything Is Different,2009,Great Reward,,4,,,,
Everything Is Different,2009,I'm Alive,,5,,,,
Everything Is Different,2009,My Portion,Psalm 73,6,,,,
Everything Is Different,2009,"You Say, I'm Rich",,7,,,,
Everything Is Different,2009,For the Good,,8,,,,
Everything Is Different,2009,Rain Down,,9,"Barnard, Everett",,,
Everything Is Different,2009,This is Who I Am,,10,,,,
Everything Is Different,2009,Turn Down the Music,,11,"Barnard, Matt Maher, David Nassar",,,
Everything Is Different,2009,My Hope is Built,Radio Version,12,"Barnard, Everett",,,
Everything Is Different,2009,I'm Alive,Radio Version,13,,,,
Everything Is Different,2009,Everything Is Different,Radio Version,14,,,,
Everything Is Different,2009,Rain Down,Radio Version,15,"Barnard, Everett",,,
"Dare 2 Share, Unending Worship",2010,My Audience,,1,,,,
"Dare 2 Share, Unending Worship",2010,With One Word,,2,,,,
"Dare 2 Share, Unending Worship",2010,Forever Reign,,3,,,,
"Dare 2 Share, Unending Worship",2010,Revelation Song,,4,,,,
"Dare 2 Share, Unending Worship",2010,Everlasting God,,5,,,,
"Dare 2 Share, Unending Worship",2010,Before the Throne,,6,,,,
"Dare 2 Share, Unending Worship",2010,Worthy of Affection,,7,,,,
"Dare 2 Share, Unending Worship",2010,Christ Is Risen,,8,,,,
"Dare 2 Share, Unending Worship",2010,Our God Is Greater,,9,,,,
"Dare 2 Share, Unending Worship",2010,Everything Is Different,,10,,,,
The One You Need,2011,Liberty,,1,,,,
The One You Need,2011,Your Love,,2,,,,
The One You Need,2011,Without You,,3,,,,
The One You Need,2011,Future Vision,,4,"Shane Barnard, Shane Everett, Jimmy Needham",,,
The One You Need,2011,Because He's God,,5,,,,
The One You Need,2011,The One You Need,,6,"Barnard, Everett, Jason Ingram",,,
The One You Need,2011,Miracle,,7,,,,
The One You Need,2011,Victory,,8,,,,
The One You Need,2011,Running to You,,9,"Barnard, Everett, Ingram",,,
